"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
67008045,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","再チャレンジ担当大臣"
67008048,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
67008061,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","原子力防災担当大臣"
67008062,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
67008066,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","東京オリンピック・パラリンピック担当大臣"
67008071,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","国土強靱化担当大臣"
67008072,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","クールジャパン戦略担当大臣"
67008076,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","知的財産戦略担当大臣"
67008079,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","マイナンバー制度担当大臣"
67008082,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","こども政策担当大臣"
67008083,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","孤独・孤立対策担当大臣"
67008086,"塩崎 恭久（しおざき やすひさ）","厚生労働大臣","経済安全保障担当大臣"
67044003,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","総務大臣"
67044004,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","法務大臣"
67044005,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","外務大臣"
67044007,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","文部科学大臣"
67044011,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","国土交通大臣"
67044012,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","環境大臣"
67044013,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","防衛大臣（防衛庁長官）"
67044014,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","国家公安委員会委員長"
67044015,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","防災担当大臣"
67044016,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","行政改革担当大臣（行政刷新担当大臣）"
67044017,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","沖縄及び北方対策担当大臣"
67044019,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","経済財政政策担当大臣"
67044020,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","科学技術政策担当大臣"
67044021,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","規制改革担当大臣"
67044022,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","男女共同参画担当大臣"
67044024,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
67044028,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","少子化対策担当大臣"
67044029,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
67044039,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
67044040,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
67044043,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","海洋政策担当大臣"
67044045,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","再チャレンジ担当大臣"
67044048,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
67044061,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","原子力防災担当大臣"
67044062,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
67044066,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","東京オリンピック・パラリンピック担当大臣"
67044071,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","国土強靱化担当大臣"
67044072,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","クールジャパン戦略担当大臣"
67044076,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","知的財産戦略担当大臣"
67044079,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","マイナンバー制度担当大臣"
67044082,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","こども政策担当大臣"
67044083,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","孤独・孤立対策担当大臣"
67044086,"塩崎 恭久（しおざき やすひさ）","拉致問題担当大臣","経済安全保障担当大臣"
