"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
162013003,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","総務大臣"
162013004,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","法務大臣"
162013005,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","外務大臣"
162013007,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","文部科学大臣"
162013008,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","厚生労働大臣"
162013011,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","国土交通大臣"
162013012,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","環境大臣"
162013014,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","国家公安委員会委員長"
162013015,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","防災担当大臣"
162013016,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","行政改革担当大臣（行政刷新担当大臣）"
162013017,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","沖縄及び北方対策担当大臣"
162013019,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","経済財政政策担当大臣"
162013020,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","科学技術政策担当大臣"
162013021,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","規制改革担当大臣"
162013022,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","男女共同参画担当大臣"
162013024,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","消費者及び食品安全担当大臣（食品安全担当大臣）"
162013028,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","少子化対策担当大臣"
162013029,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","デジタル大臣（情報通信技術（IT）政策担当大臣）"
162013039,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","国家公務員制度担当大臣（公務員制度改革担当大臣）"
162013040,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
162013043,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","海洋政策担当大臣"
162013044,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","拉致問題担当大臣"
162013045,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","再チャレンジ担当大臣"
162013048,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","宇宙政策担当大臣（宇宙開発担当大臣）"
162013061,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","原子力防災担当大臣"
162013062,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
162013066,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","東京オリンピック・パラリンピック担当大臣"
162013071,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","国土強靱化担当大臣"
162013072,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","クールジャパン戦略担当大臣"
162013076,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","知的財産戦略担当大臣"
162013079,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","マイナンバー制度担当大臣"
162013082,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","こども政策担当大臣"
162013083,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","孤独・孤立対策担当大臣"
162013086,"森本 敏（もりもと さとし）","防衛大臣（防衛庁長官）","経済安全保障担当大臣"
