"allid","nameyomi","mn_pos_jp_fin","mn0_pos_jp_fin"
177014003,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","総務大臣"
177014004,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","法務大臣"
177014005,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","外務大臣"
177014007,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","文部科学大臣"
177014008,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","厚生労働大臣"
177014011,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","国土交通大臣"
177014012,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","環境大臣"
177014013,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","防衛大臣（防衛庁長官）"
177014016,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","行政改革担当大臣（行政刷新担当大臣）"
177014017,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","沖縄及び北方対策担当大臣"
177014019,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","経済財政政策担当大臣"
177014020,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","科学技術政策担当大臣"
177014021,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","規制改革担当大臣"
177014022,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","男女共同参画担当大臣"
177014024,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","消費者及び食品安全担当大臣（食品安全担当大臣）"
177014028,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","少子化対策担当大臣"
177014029,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","デジタル大臣（情報通信技術（IT）政策担当大臣）"
177014039,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","国家公務員制度担当大臣（公務員制度改革担当大臣）"
177014040,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
177014043,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","海洋政策担当大臣"
177014045,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","再チャレンジ担当大臣"
177014048,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","宇宙政策担当大臣（宇宙開発担当大臣）"
177014061,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","原子力防災担当大臣"
177014062,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
177014066,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","東京オリンピック・パラリンピック担当大臣"
177014072,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","クールジャパン戦略担当大臣"
177014076,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","知的財産戦略担当大臣"
177014079,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","マイナンバー制度担当大臣"
177014082,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","こども政策担当大臣"
177014083,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","孤独・孤立対策担当大臣"
177014086,"古屋 圭司（ふるや けいじ）","国家公安委員会委員長","経済安全保障担当大臣"
177015003,"古屋 圭司（ふるや けいじ）","防災担当大臣","総務大臣"
177015004,"古屋 圭司（ふるや けいじ）","防災担当大臣","法務大臣"
177015005,"古屋 圭司（ふるや けいじ）","防災担当大臣","外務大臣"
177015007,"古屋 圭司（ふるや けいじ）","防災担当大臣","文部科学大臣"
177015008,"古屋 圭司（ふるや けいじ）","防災担当大臣","厚生労働大臣"
177015011,"古屋 圭司（ふるや けいじ）","防災担当大臣","国土交通大臣"
177015012,"古屋 圭司（ふるや けいじ）","防災担当大臣","環境大臣"
177015013,"古屋 圭司（ふるや けいじ）","防災担当大臣","防衛大臣（防衛庁長官）"
177015016,"古屋 圭司（ふるや けいじ）","防災担当大臣","行政改革担当大臣（行政刷新担当大臣）"
177015017,"古屋 圭司（ふるや けいじ）","防災担当大臣","沖縄及び北方対策担当大臣"
177015019,"古屋 圭司（ふるや けいじ）","防災担当大臣","経済財政政策担当大臣"
177015020,"古屋 圭司（ふるや けいじ）","防災担当大臣","科学技術政策担当大臣"
177015021,"古屋 圭司（ふるや けいじ）","防災担当大臣","規制改革担当大臣"
177015022,"古屋 圭司（ふるや けいじ）","防災担当大臣","男女共同参画担当大臣"
177015024,"古屋 圭司（ふるや けいじ）","防災担当大臣","消費者及び食品安全担当大臣（食品安全担当大臣）"
177015028,"古屋 圭司（ふるや けいじ）","防災担当大臣","少子化対策担当大臣"
177015029,"古屋 圭司（ふるや けいじ）","防災担当大臣","デジタル大臣（情報通信技術（IT）政策担当大臣）"
177015039,"古屋 圭司（ふるや けいじ）","防災担当大臣","国家公務員制度担当大臣（公務員制度改革担当大臣）"
177015040,"古屋 圭司（ふるや けいじ）","防災担当大臣","地方創生担当大臣（地方分権改革／地域主権推進担当大臣）"
177015043,"古屋 圭司（ふるや けいじ）","防災担当大臣","海洋政策担当大臣"
177015045,"古屋 圭司（ふるや けいじ）","防災担当大臣","再チャレンジ担当大臣"
177015048,"古屋 圭司（ふるや けいじ）","防災担当大臣","宇宙政策担当大臣（宇宙開発担当大臣）"
177015061,"古屋 圭司（ふるや けいじ）","防災担当大臣","原子力防災担当大臣"
177015062,"古屋 圭司（ふるや けいじ）","防災担当大臣","女性活躍担当大臣（女性活力・子育て支援担当大臣）"
177015066,"古屋 圭司（ふるや けいじ）","防災担当大臣","東京オリンピック・パラリンピック担当大臣"
177015072,"古屋 圭司（ふるや けいじ）","防災担当大臣","クールジャパン戦略担当大臣"
177015076,"古屋 圭司（ふるや けいじ）","防災担当大臣","知的財産戦略担当大臣"
177015079,"古屋 圭司（ふるや けいじ）","防災担当大臣","マイナンバー制度担当大臣"
177015082,"古屋 圭司（ふるや けいじ）","防災担当大臣","こども政策担当大臣"
177015083,"古屋 圭司（ふるや けいじ）","防災担当大臣","孤独・孤立対策担当大臣"
177015086,"古屋 圭司（ふるや けいじ）","防災担当大臣","経済安全保障担当大臣"
177044003,"古屋 圭司（ふるや けいじ）","拉致問題担当大臣","総務大臣"
177044004,"古屋 圭司（ふるや けいじ）","拉致問題担当大臣","法務大臣"
177044005,"古屋 圭司（ふるや けいじ）","拉致問題担当大臣","外務大臣"
177044007,"古屋 圭司（ふるや けいじ）","拉致問題担当大臣","文部科学大臣"
